need an inexpensive flight from baltimore to san francisco	need an inexpensive flight from baltimore to san francisco	[IN:FLIGHT need an [SL:FLIGHT_MOD inexpensive ] flight from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
find the earliest flight from boston to oakland that serves breakfast	find the earliest flight from boston to oakland that serves breakfast	[IN:FLIGHT find the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] that serves [SL:MEAL_DESCRIPTION breakfast ] ]
"i""d like to fly from philadelphia to dallas to san francisco"	"i""d like to fly from philadelphia to dallas to san francisco"	[IN:FLIGHT i'd like to fly from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
show me all the direct flights from atlanta to baltimore	show me all the direct flights from atlanta to baltimore	[IN:FLIGHT show me all the [SL:CONNECT direct ] flights from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
latest flight from houston to san jose	latest flight from houston to san jose	[IN:FLIGHT [SL:FLIGHT_MOD latest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME houston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san jose ] ] ]
"what""re the flights from new york city to las vegas that arrive on a sunday"	"what""re the flights from new york city to las vegas that arrive on a sunday"	[IN:FLIGHT what're the flights from [SL:FROM_LOCATION [SL:CITY_NAME new york city ] ] to [SL:TO_LOCATION [SL:CITY_NAME las vegas ] ] that arrive on a [SL:ARRIVE_DATE [SL:DAY_NAME sunday ] ] ]
i would like to fly united airlines from washington dc to denver colorado	i would like to fly united airlines from washington dc to denver colorado	[IN:FLIGHT i would like to fly [SL:AIRLINE_NAME united airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] [SL:FROM_LOCATION [SL:STATE_CODE dc ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] [SL:TO_LOCATION [SL:STATE_NAME colorado ] ] ]
okay i need to see economy flights on united between dallas and baltimore	okay i need to see economy flights on united between dallas and baltimore	[IN:FLIGHT okay i need to see [SL:ECONOMY economy ] flights on [SL:AIRLINE_NAME united ] between [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] and [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast	please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast	[IN:FLIGHT please show me flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] serving [SL:MEAL_DESCRIPTION breakfast ] ]
i need information for flights leaving baltimore and arriving in atlanta	i need information for flights leaving baltimore and arriving in atlanta	[IN:FLIGHT i need information for flights leaving [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] and arriving in [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
"show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o""clock am tomorrow"	"show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o""clock am tomorrow"	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] which arrive in [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] [SL:ARRIVE_TIME [SL:TIME_RELATIVE before ] ] [SL:ARRIVE_TIME [SL:TIME 9 o'clock am ] ] [SL:ARRIVE_DATE [SL:TODAY_RELATIVE tomorrow ] ] ]
show me the fares from dallas to san francisco	show me the fares from dallas to san francisco	[IN:AIRFARE show me the fares from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
please give me flights available from baltimore to philadelphia	please give me flights available from baltimore to philadelphia	[IN:FLIGHT please give me flights available from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
what are the flights on january first 1992 from boston to san francisco	what are the flights on january first 1992 from boston to san francisco	[IN:FLIGHT what are the flights on [SL:DEPART_DATE [SL:MONTH_NAME january ] ] [SL:DEPART_DATE [SL:DAY_NUMBER first ] ] [SL:DEPART_DATE [SL:YEAR 1992 ] ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
flights from denver to baltimore between 10 am and 2 pm	flights from denver to baltimore between 10 am and 2 pm	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] between [SL:DEPART_TIME [SL:START_TIME 10 am ] ] and [SL:DEPART_TIME [SL:END_TIME 2 pm ] ] ]
what ground transportation is there in atlanta	what ground transportation is there in atlanta	[IN:GROUND_SERVICE what ground transportation is there in [SL:CITY_NAME atlanta ] ]
list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm	list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm	[IN:FLIGHT list [SL:FLIGHT_STOP nonstop ] flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] that arrive between [SL:ARRIVE_TIME [SL:START_TIME 445 ] ] and [SL:ARRIVE_TIME [SL:END_TIME 515 pm ] ] ]
show flights from baltimore to san francisco between 6 pm and 8 pm on friday	show flights from baltimore to san francisco between 6 pm and 8 pm on friday	[IN:FLIGHT show flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] between [SL:DEPART_TIME [SL:START_TIME 6 pm ] ] and [SL:DEPART_TIME [SL:END_TIME 8 pm ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] ]
i want to fly from denver to san francisco	i want to fly from denver to san francisco	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
coach fares only weekdays for denver to boston	coach fares only weekdays for denver to boston	[IN:AIRFARE [SL:CLASS_TYPE coach ] fares [SL:FLIGHT_MOD only weekdays ] for [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
what are the coach fares for flights from newark to la leaving after 3 pm	what are the coach fares for flights from newark to la leaving after 3 pm	[IN:AIRFARE what are the [SL:CLASS_TYPE coach ] fares for flights from [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] to [SL:TO_LOCATION [SL:CITY_NAME la ] ] leaving [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 3 pm ] ] ]
from philadelphia to toronto	from philadelphia to toronto	[IN:FLIGHT from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME toronto ] ] ]
i would like a nonstop flight from philadelphia to pittsburgh	i would like a nonstop flight from philadelphia to pittsburgh	[IN:FLIGHT i would like a [SL:FLIGHT_STOP nonstop ] flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
what are my choices of flights leaving early afternoon from minneapolis to indianapolis	what are my choices of flights leaving early afternoon from minneapolis to indianapolis	[IN:FLIGHT what are my choices of flights leaving [SL:DEPART_TIME [SL:PERIOD_OF_DAY early ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] from [SL:FROM_LOCATION [SL:CITY_NAME minneapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME indianapolis ] ] ]
what is the cheapest flight flying from boston to atlanta before 8	what is the cheapest flight flying from boston to atlanta before 8	[IN:FLIGHT what is the [SL:COST_RELATIVE cheapest ] flight flying from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME 8 ] ] ]
list possible round trip daily flights between boston and oakland	list possible round trip daily flights between boston and oakland	[IN:FLIGHT list possible [SL:ROUND_TRIP round trip ] [SL:FLIGHT_DAYS daily ] flights between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
please give me round trip fares from baltimore to philadelphia	please give me round trip fares from baltimore to philadelphia	[IN:AIRFARE please give me [SL:ROUND_TRIP round trip ] fares from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
find a flight from long beach to st. louis stopping in dallas	find a flight from long beach to st. louis stopping in dallas	[IN:FLIGHT find a flight from [SL:FROM_LOCATION [SL:CITY_NAME long beach ] ] to [SL:TO_LOCATION [SL:CITY_NAME st. louis ] ] stopping in [SL:STOP_LOCATION [SL:CITY_NAME dallas ] ] ]
please list the flights from st. paul to kansas city on friday night that serve meals	please list the flights from st. paul to kansas city on friday night that serve meals	[IN:FLIGHT please list the flights from [SL:FROM_LOCATION [SL:CITY_NAME st. paul ] ] to [SL:TO_LOCATION [SL:CITY_NAME kansas city ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY night ] ] that serve [SL:MEAL meals ] ]
what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth	what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth	[IN:AIRFARE what is [SL:COST_RELATIVE lowest cost ] air fare available for a flight from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] arriving on [SL:ARRIVE_DATE [SL:MONTH_NAME july ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER fourth ] ] ]
can you show me the flights from baltimore to dallas	can you show me the flights from baltimore to dallas	[IN:FLIGHT can you show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
i need flight information on saturday for a flight from philadelphia to dallas	i need flight information on saturday for a flight from philadelphia to dallas	[IN:FLIGHT i need flight information on [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] for a flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
show me the flights from denver that go to pittsburgh and then atlanta	show me the flights from denver that go to pittsburgh and then atlanta	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] that go to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] and then [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
what is the earliest flight you have leaving boston heading to philadelphia	what is the earliest flight you have leaving boston heading to philadelphia	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] flight you have leaving [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] heading to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
what are the least expensive flights from denver to atlanta	what are the least expensive flights from denver to atlanta	[IN:FLIGHT what are the [SL:COST_RELATIVE least expensive ] flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
what kind of ground transportation is there once i get to dallas	what kind of ground transportation is there once i get to dallas	[IN:GROUND_SERVICE what kind of ground transportation is there once i get to [SL:CITY_NAME dallas ] ]
show me the flights that go from atlanta to washington on thursday mornings	show me the flights that go from atlanta to washington on thursday mornings	[IN:FLIGHT show me the flights that go from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] on [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY mornings ] ] ]
find a flight on delta from philadelphia to san francisco	find a flight on delta from philadelphia to san francisco	[IN:FLIGHT find a flight on [SL:AIRLINE_NAME delta ] from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
do you have any flights from boston to dallas fort worth that stop over in philadelphia	do you have any flights from boston to dallas fort worth that stop over in philadelphia	[IN:FLIGHT do you have any flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas fort worth ] ] that stop over in [SL:STOP_LOCATION [SL:CITY_NAME philadelphia ] ] ]
what is ff	what is ff	[IN:ABBREVIATION what is [SL:AIRLINE_CODE ff ] ]
show all nonstop flights from boston to san francisco	show all nonstop flights from boston to san francisco	[IN:FLIGHT show all [SL:FLIGHT_STOP nonstop ] flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what kind of ground transportation is available in denver	what kind of ground transportation is available in denver	[IN:GROUND_SERVICE what kind of ground transportation is available in [SL:CITY_NAME denver ] ]
i would like to travel from indianapolis to houston	i would like to travel from indianapolis to houston	[IN:FLIGHT i would like to travel from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME houston ] ] ]
find travel arrangements for a round trip flight from boston to pittsburgh	find travel arrangements for a round trip flight from boston to pittsburgh	[IN:FLIGHT find travel arrangements for a [SL:ROUND_TRIP round trip ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
please list the tuesday flights from atlanta to st. louis	please list the tuesday flights from atlanta to st. louis	[IN:FLIGHT please list the [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] flights from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME st. louis ] ] ]
show me all flights from atlanta to san francisco	show me all flights from atlanta to san francisco	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what is the cheapest fare i can get from dallas to denver	what is the cheapest fare i can get from dallas to denver	[IN:AIRFARE what is the [SL:COST_RELATIVE cheapest ] fare i can get from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
what is the latest flight from salt lake city to st. petersburg	what is the latest flight from salt lake city to st. petersburg	[IN:FLIGHT what is the [SL:FLIGHT_MOD latest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME salt lake city ] ] to [SL:TO_LOCATION [SL:CITY_NAME st. petersburg ] ] ]
chicago to san francisco on continental	chicago to san francisco on continental	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:AIRLINE_NAME continental ] ]
could you show me all the flights from oakland to salt lake city	could you show me all the flights from oakland to salt lake city	[IN:FLIGHT could you show me all the flights from [SL:FROM_LOCATION [SL:CITY_NAME oakland ] ] to [SL:TO_LOCATION [SL:CITY_NAME salt lake city ] ] ]
what cities are served by canadian airlines international	what cities are served by canadian airlines international	[IN:CITY what cities are served by [SL:AIRLINE_NAME canadian airlines international ] ]
san francisco to philadelphia please	san francisco to philadelphia please	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] please ]
flights from nashville to seattle	flights from nashville to seattle	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME nashville ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] ]
what flights are available friday afternoon from philadelphia to oakland california	what flights are available friday afternoon from philadelphia to oakland california	[IN:FLIGHT what flights are available [SL:DEPART_DATE [SL:DAY_NAME friday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] [SL:TO_LOCATION [SL:STATE_NAME california ] ] ]
tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm	tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm	[IN:FLIGHT tell me about flights from [SL:FROM_LOCATION [SL:CITY_NAME toronto ] ] to [SL:TO_LOCATION [SL:CITY_NAME salt lake city ] ] leaving [SL:FROM_LOCATION [SL:CITY_NAME toronto ] ] between [SL:DEPART_TIME [SL:START_TIME 530 ] ] and [SL:DEPART_TIME [SL:END_TIME 7 pm ] ] ]
